# Claude Code 專案版本資訊（2025-10-27 更新）

✅ BPlusTree3 | 版本: 無版本號 | 最後更新: 2025-09-12
✅ Claude-Code-Usage-Monitor | 版本: v3.1.0 | 最後更新: 2025-07-24
✅ ClaudeCode-Debugger | 版本: v1.5.0 | 最後更新: 2025-07-30
✅ SuperClaude_Framework | 版本: v4.1.6 | 最後更新: 2025-10-25
✅ agents-contains-studio | 版本: 無版本號 | 最後更新: 2025-07-28
✅ agents | 版本: 無版本號 | 最後更新: 2025-10-23
✅ awesome-claude-code | 版本: 無版本號 | 最後更新: 2025-10-27
✅ ccusage | 版本: v17.1.3 | 最後更新: 2025-10-27
✅ claude-agents | 版本: 無版本號 | 最後更新: 2025-07-25
✅ claude-code-guide | 版本: 無版本號 | 最後更新: 2025-10-23
✅ claude-code-hooks | 版本: 無版本號 | 最後更新: 2025-07-20
✅ claude-code-leaderboard | 版本: 無版本號 | 最後更新: 2025-08-06
✅ claude-code-security-review | 版本: 無版本號 | 最後更新: 2025-08-25
✅ claude-code-spec | 版本: v1.1.5 | 最後更新: 2025-10-25
✅ claudecodeui | 版本: v1.8.12 | 最後更新: 2025-10-08
✅ claudia | 版本: v0.2.0 | 最後更新: 2025-10-16
✅ contains-studio-agents | 版本: 無版本號 | 最後更新: 2025-07-28
✅ context-engineering-intro | 版本: 無版本號 | 最後更新: 2025-09-24
✅ vibe-kanban | 版本: v0.0.111-20251023173202 | 最後更新: 2025-10-27
